permid,ticker,cik,filing_date,n_words,ai_hits,ai_per_10k,ai_per_10k_risk,ai_per_10k_nonrisk
4295641240,KE,1606757,2022-08-30,41779.0,0.0,0.0,0.0,0.0
4295856130,TX,1342874,,,,,,
4295856134,MELI,1099590,2022-02-23,80778.0,11.0,1.362,0.0,1.362
4295857066,EYPT,1314102,2022-03-14,89835.0,0.0,0.0,0.0,0.0
4295859616,NAT,1000177,,,,,,
4295859618,AGO,1273813,2022-02-25,165317.0,0.0,0.0,0.0,0.0
4295859625,GPRK,1464591,,,,,,
4295859633,SFL,1289877,,,,,,
4295859665,AXS,1214816,2022-02-25,122800.0,0.0,0.0,0.0,0.0
4295860527,OPY,791963,2022-02-28,65439.0,0.0,0.0,0.0,0.0
4295860976,NOVT,1076930,2022-03-01,64476.0,0.0,0.0,0.0,0.0
4295861066,EPSN,1726126,2022-03-24,55328.0,0.0,0.0,0.0,0.0
4295861073,BN,1001085,,,,,,
4295861707,APT,884269,2022-03-11,26936.0,0.0,0.0,0.0,0.0
4295861978,STRZ,929351,2022-05-26,87245.0,0.0,0.0,0.0,0.0
4295861982,APTOF,882361,2022-03-22,44968.0,0.0,0.0,0.0,0.0
4295862048,SSRM,921638,2022-02-23,86318.0,0.0,0.0,0.0,0.0
4295862090,TRX,1173643,,,,,,
4295862105,BIP,1406234,,,,,,
4295862512,NG,1173420,2022-01-26,46718.0,0.0,0.0,0.0,0.0
4295862576,LULU,1397187,2022-03-29,46777.0,0.0,0.0,0.0,0.0
4295862881,FENC,1211583,2022-02-28,68997.0,0.0,0.0,0.0,0.0
4295863311,HLF,1180262,2022-02-23,90017.0,0.0,0.0,0.0,0.0
4295863314,CWCO,928340,2022-03-29,50960.0,0.0,0.0,0.0,0.0
4295863966,SVA,1084201,,,,,,
4295864333,MLCO,1381640,,,,,,
4295864459,NTES,1110646,,,,,,
4295864555,AIFU,1413855,,,,,,
4295864818,BIDU,1329099,,,,,,
4295865168,EDU,1372920,,,,,,
4295870632,GASS,1328919,,,,,,
4295870723,DSX,1318885,,,,,,
4295870766,DAC,1369241,,,,,,
4295873615,SIFY,1094324,,,,,,
4295874860,TRIB,888721,,,,,,
4295874867,CRH,849395,,,,,,
4295874891,ICLR,1060955,,,,,,
4295874940,FLUT,1635327,,,,,,
4295875051,ITRN,1337117,,,,,,
4295875111,NVMI,1109345,,,,,,
4295875114,CRNT,1119769,,,,,,
4295875122,CAMT,1109138,,,,,,
4295875182,CHKP,1015922,,,,,,
4295875240,SILC,916793,,,,,,
